Ligand gene symbol	Ligand HGNC ID	Ligand location	Receptor gene symbol	Receptor HGNC ID	PMID support
CCL26	HGNC:10625	secreted	CCR3	HGNC:1604	"10488147, 15207250, 10488147, 16339911, 10488147"
CCL27	HGNC:10626	secreted	ACKR2	HGNC:1565	"11821900, 10725697, 10725696"
CCL27	HGNC:10626	secreted	CCR10	HGNC:4474	"12718728, 10725697, 11821900"
CCL28	HGNC:17700	secreted	ACKR2	HGNC:1565	10781587
CCL28	HGNC:17700	secreted	CCR10	HGNC:4474	"10781587, 10781587, 10975800"
CCL28	HGNC:17700	secreted	CCR3	HGNC:1604	"12964882, 10975800"
CCL3	HGNC:10627	secreted	ACKR2	HGNC:1565	9405404
CCL3	HGNC:10627	secreted	CCR1	HGNC:1602	"9115216, 12381680, 11170631, 9624164, 8530354, 10660125, 10202040, 7545673"
CCL3	HGNC:10627	secreted	CCR3	HGNC:1604	7594543
CCL3	HGNC:10627	secreted	CCR4	HGNC:1605	8573157
CCL3	HGNC:10627	secreted	CCR5	HGNC:1606	"12964882, 11170631, 16298345, 9790730, 11700073, 10477718"
CCL3L1	HGNC:10628	secreted	ACKR2	HGNC:1565	25297873
CCL3L1	HGNC:10628	secreted	CCR1	HGNC:1602	11449371
CCL3L1	HGNC:10628	secreted	CCR3	HGNC:1604	11449371
CCL3L1	HGNC:10628	secreted	CCR5	HGNC:1606	"11734558, 11449371"
CCL3L3	HGNC:30554	secreted	ACKR2	HGNC:1565	10364178
CCL3L3	HGNC:30554	secreted	CCR5	HGNC:1606	"11734558, 10364178"
CCL4	HGNC:10630	secreted	ACKR2	HGNC:1565	9405404
CCL4	HGNC:10630	secreted	CCR1	HGNC:1602	"12381680, 8530354, 7594543"
CCL4	HGNC:10630	secreted	CCR3	HGNC:1604	7622448
CCL4	HGNC:10630	secreted	CCR5	HGNC:1606	"12964882, 16298345, 9790730, 12427015, 8663314"
CCL4	HGNC:10630	secreted	CCR8	HGNC:1609	9521068
CCL4L1	HGNC:10631	secreted	CCR1	HGNC:1602	15240137
CCL4L1	HGNC:10631	secreted	CCR3	HGNC:1604	15240137
CCL4L1	HGNC:10631	secreted	CCR5	HGNC:1606	15240137
CCL5	HGNC:10632	secreted	ACKR1	HGNC:4035	"12081195, 17416748"
CCL5	HGNC:10632	secreted	ACKR2	HGNC:1565	9405404
CCL5	HGNC:10632	secreted	CCR1	HGNC:1602	"9624164, 8530354, 9289016, 11116158, 14637022, 12270118, 7545673"
CCL5	HGNC:10632	secreted	CCR3	HGNC:1604	"8642344, 8642344, 9289016, 8642344"
CCL5	HGNC:10632	secreted	CCR4	HGNC:1605	"12270118, 8573157"
CCL5	HGNC:10632	secreted	CCR5	HGNC:1606	"12964882, 10318947, 16298345, 9790730, 9289016, 8663314, 11116158, 14637022, 10477718"
CCL5	HGNC:10632	secreted	CXCR3	HGNC:4540	9660793
CCL5	HGNC:10632	secreted	GPR75	HGNC:4526	17001303
CCL5	HGNC:10632	secreted	SDC1	HGNC:10658	14637022
CCL5	HGNC:10632	secreted	SDC4	HGNC:10661	14637022
CCL7	HGNC:10634	secreted	ACKR1	HGNC:4035	13679391
CCL7	HGNC:10634	secreted	ACKR2	HGNC:1565	"9364936, 9405404"
CCL7	HGNC:10634	secreted	ACKR4	HGNC:1611	10734104
CCL7	HGNC:10634	secreted	CCR1	HGNC:1602	"9115216, 12381680, 11994538, 8530354, 7545673"
CCL7	HGNC:10634	secreted	CCR10	HGNC:4474	"9364936, 10706668"
CCL7	HGNC:10634	secreted	CCR2	HGNC:1603	"8530354, 9276730, 9346309, 12554737, 8530354"
CCL7	HGNC:10634	secreted	CCR3	HGNC:1604	"8642344, 8642344, 8642344"
CCL7	HGNC:10634	secreted	CCR5	HGNC:1606	"16298345, 10477718"
CCL7	HGNC:10634	secreted	CXCR3	HGNC:4540	9660793
CCL8	HGNC:10635	secreted	ACKR1	HGNC:4035	13679391
CCL8	HGNC:10635	secreted	ACKR2	HGNC:1565	9405404
CCL8	HGNC:10635	secreted	ACKR4	HGNC:1611	10734104
CCL8	HGNC:10635	secreted	CCR1	HGNC:1602	9115216
CCL8	HGNC:10635	secreted	CCR2	HGNC:1603	"12554737, 9115216, 12149192"
CCL8	HGNC:10635	secreted	CCR3	HGNC:1604	"9005985, 9005985"
CCL8	HGNC:10635	secreted	CCR5	HGNC:1606	"12964882, 9790730, 9468473, 10477718"
CCN1	HGNC:2654	secreted	ITGA5	HGNC:6141	9446626
CCN1	HGNC:2654	secreted	ITGAM	HGNC:6149	12036876
CCN1	HGNC:2654	secreted	ITGAV	HGNC:6150	11287419
CCN1	HGNC:2654	secreted	ITGB2	HGNC:6155	12036876
CCN1	HGNC:2654	secreted	ITGB3	HGNC:6156	9446626
CCN1	HGNC:2654	secreted	ITGB5	HGNC:6160	11287419
CCN1	HGNC:2654	secreted	SDC4	HGNC:10661	16275757
CCN2	HGNC:2500	secreted	FGFR2	HGNC:3689	23142580
CCN2	HGNC:2500	secreted	IGF2R	HGNC:5467	22511630
CCN2	HGNC:2500	secreted	ITGA5	HGNC:6141	18167060
CCN2	HGNC:2500	secreted	ITGAM	HGNC:6149	12736251
CCN2	HGNC:2500	secreted	ITGB2	HGNC:6155	12736251
CCN2	HGNC:2500	secreted	LRP1	HGNC:6692	14585398
CCN2	HGNC:2500	secreted	LRP6	HGNC:6698	15105373
CCN2	HGNC:2500	secreted	NTRK1	HGNC:8031	15601748
CCN3	HGNC:7885	secreted	NOTCH1	HGNC:7881	"15906253, 12050162"
CCN4	HGNC:12769	secreted	ITGA5	HGNC:6141	29330021
CCN4	HGNC:12769	secreted	ITGB1	HGNC:6153	29330021
CD14	HGNC:1628	plasma membrane	ITGA4	HGNC:6140	17274987
CD14	HGNC:1628	plasma membrane	ITGB1	HGNC:6153	17274987
CD160	HGNC:17013	secreted	TNFRSF14	HGNC:11912	21959263
CD177	HGNC:30072	plasma membrane	PECAM1	HGNC:8823	17580308
CD1D	HGNC:1637	plasma membrane	LILRB2	HGNC:6606	19124746
CD2	HGNC:1639	plasma membrane	CD48	HGNC:1683	26794910
CD200	HGNC:7203	plasma membrane	CD200R1	HGNC:24235	22020332
CD200	HGNC:7203	plasma membrane	CD200R1L	HGNC:24665	"15187158, 19283782"
CD200R1	HGNC:24235	plasma membrane	CD200	HGNC:7203	12960329
CD209	HGNC:1641	plasma membrane	ICAM3	HGNC:5346	10721994
CD22	HGNC:1643	plasma membrane	PTPRC	HGNC:9666	12115612
CD226	HGNC:16961	plasma membrane	NECTIN2	HGNC:9707	15607800
CD226	HGNC:16961	plasma membrane	PVR	HGNC:9705	15607800
CD24	HGNC:1645	plasma membrane	SELP	HGNC:10721	"9129046, 9129046"
CD244	HGNC:18171	plasma membrane	CD48	HGNC:1683	26697006
CD274	HGNC:17635	plasma membrane	CD80	HGNC:1700	"17629517, 18585785, 20587542"
CD274	HGNC:17635	plasma membrane	PDCD1	HGNC:8760	23954143
CD28	HGNC:1653	plasma membrane	CD80	HGNC:1700	17953528
CD28	HGNC:1653	plasma membrane	CD86	HGNC:1705	7534620
CD34	HGNC:1662	plasma membrane	SELE	HGNC:10718	29296932
CD34	HGNC:1662	plasma membrane	SELL	HGNC:10720	12889478
CD34	HGNC:1662	plasma membrane	SELP	HGNC:10721	29296932
CD38	HGNC:1667	plasma membrane	PECAM1	HGNC:8823	"9551996, 26407101"
CD40LG	HGNC:11935	plasma membrane; secreted	CD40	HGNC:11919	"1374165, 10647992, 7516405, 7543281"
CD44	HGNC:1681	plasma membrane	SELE	HGNC:10718	29777742
CD47	HGNC:1682	plasma membrane	SIRPA	HGNC:9662	10572074
CD47	HGNC:1682	plasma membrane	SIRPG	HGNC:15757	15294972
CD48	HGNC:1683	plasma membrane	CD2	HGNC:1639	"18287277, 23470321"
CD48	HGNC:1683	plasma membrane	CD244	HGNC:18171	15870174
CD52	HGNC:1804	plasma membrane	SIGLEC10	HGNC:15620	23685786
CD55	HGNC:2665	plasma membrane; secreted	ADGRE5	HGNC:1711	"12417446, 10540231"
CD58	HGNC:1688	plasma membrane	CD2	HGNC:1639	23602662
CD59	HGNC:1689	secreted	CD2	HGNC:1639	1377404
CD5L	HGNC:1690	secreted	CD5	HGNC:1685	9723705
CD6	HGNC:1691	plasma membrane	ALCAM	HGNC:400	26146185
CD70	HGNC:11937	plasma membrane; secreted	CD27	HGNC:11922	"8120384, 8120384, 8186199, 8580829, 15723067, 7479974, 9862673, 9767422"
CD80	HGNC:1700	plasma membrane	CD274	HGNC:17635	24819296
CD80	HGNC:1700	plasma membrane	CD28	HGNC:1653	7545666
CD80	HGNC:1700	plasma membrane	CTLA4	HGNC:2505	"23954143, 17953528"
CD84	HGNC:1704	plasma membrane	CD84	HGNC:1704	11564780
CD86	HGNC:1705	plasma membrane; secreted	CD28	HGNC:1653	23954143
CD86	HGNC:1705	plasma membrane; secreted	CTLA4	HGNC:2505	23954143
CD9	HGNC:1709	plasma membrane	L1CAM	HGNC:6470	8838570
CD96	HGNC:16892	plasma membrane	NECTIN1	HGNC:9706	"24658051, 30759143"
CD96	HGNC:16892	plasma membrane	PVR	HGNC:9705	"17971293, 15034010"
CD99	HGNC:7082	plasma membrane; secreted	PILRA	HGNC:20396	18234675
CD99	HGNC:7082	plasma membrane; secreted	PILRB	HGNC:18297	18234675
CDH1	HGNC:1748	plasma membrane	EGFR	HGNC:3236	10969083
CDH1	HGNC:1748	plasma membrane	IGF1R	HGNC:5465	22479204
CDH1	HGNC:1748	plasma membrane	ITGAE	HGNC:6147	"7969453, 12434297"
CDH1	HGNC:1748	plasma membrane	ITGB7	HGNC:6162	"7969453, 10837471"
CDH1	HGNC:1748	plasma membrane	KLRG1	HGNC:6380	19604491
CDH1	HGNC:1748	plasma membrane	PTPRM	HGNC:9675	"9531566, 7642713"
CEACAM1	HGNC:1814	plasma membrane	CD209	HGNC:1641	"16282604, 16246332"
CEACAM1	HGNC:1814	plasma membrane	HAVCR2	HGNC:18437	26982724
CEACAM1	HGNC:1814	plasma membrane	SELE	HGNC:10718	1378450
CEACAM5	HGNC:1817	plasma membrane	CD1D	HGNC:1637	24104458
CEACAM5	HGNC:1817	plasma membrane	CD8A	HGNC:1706	24104458
CEACAM6	HGNC:1818	plasma membrane	CEACAM8	HGNC:1820	11590190
CEACAM8	HGNC:1820	plasma membrane	CEACAM1	HGNC:1814	24743304
CEL	HGNC:1848	secreted	CXCR4	HGNC:2561	18037996
CFH	HGNC:4883	secreted	ITGAM	HGNC:6149	9558116
CFH	HGNC:4883	secreted	SELL	HGNC:10720	"10377245, 10377245"
CFP	HGNC:8864	secreted	NCR1	HGNC:6731	28480349
CGA	HGNC:1885	secreted	LHCGR	HGNC:6585	"10342833, 12727981, 1922095, 10342833"
CGB3	HGNC:1886	secreted	LHCGR	HGNC:6585	"10446903, 12727981, 1922095, 2254302"
CGN	HGNC:17429	secreted	F11R	HGNC:14685	10877843
CHAD	HGNC:1909	secreted	ITGA2	HGNC:6137	9281592
CHAD	HGNC:1909	secreted	ITGB1	HGNC:6153	9281592
CIRBP	HGNC:1982	secreted	TREM1	HGNC:17760	"32027618, 32506691"
CLCF1	HGNC:17412	secreted	CNTFR	HGNC:2170	"10966616, 10966616, 11294841, 11285233"
CLCF1	HGNC:17412	secreted	CRLF1	HGNC:2364	"10966616, 10966616"
CLCF1	HGNC:17412	secreted	IL6ST	HGNC:6021	10966616
CLCF1	HGNC:17412	secreted	LIFR	HGNC:6597	10966616
CLEC11A	HGNC:10576	secreted	ITGA10	HGNC:6135	30632962
CLEC11A	HGNC:10576	secreted	ITGA11	HGNC:6136	30632962
CLEC11A	HGNC:10576	secreted	ITGB1	HGNC:6153	30632962
CLEC2A	HGNC:24191	plasma membrane	KLRF2	HGNC:37646	24223577
CLEC2B	HGNC:2053	plasma membrane	KLRF1	HGNC:13342	17057721
CLEC2D	HGNC:14351	plasma membrane	KLRB1	HGNC:6373	"29721382, 26147876"
CLEC4G	HGNC:24591	plasma membrane	LAG3	HGNC:6476	24769443
CNTF	HGNC:2169	secreted	CNTFR	HGNC:2170	"8627290, 7810882, 10812968"
CNTF	HGNC:2169	secreted	IL6R	HGNC:6019	1281789
CNTF	HGNC:2169	secreted	IL6ST	HGNC:6021	"12643274, 16051226"
CNTF	HGNC:2169	secreted	LIFR	HGNC:6597	"12643274, 16051226"
CNTN1	HGNC:2171	plasma membrane	NOTCH1	HGNC:7881	14567914
CNTN1	HGNC:2171	plasma membrane	NOTCH2	HGNC:7882	14567914
CNTN1	HGNC:2171	plasma membrane	PTPRZ1	HGNC:9685	21969550
CNTN2	HGNC:2172	secreted	CNTN1	HGNC:2171	12139915
CNTN2	HGNC:2172	secreted	CNTNAP2	HGNC:13830	12975355
CNTN2	HGNC:2172	secreted	NRCAM	HGNC:7994	12139915
CNTN4	HGNC:2174	plasma membrane	PTPRG	HGNC:9671	20133774
CNTN6	HGNC:2176	plasma membrane	NOTCH1	HGNC:7881	15082708
COL11A1	HGNC:2186	secreted	DDR1	HGNC:2730	9659900
COL14A1	HGNC:2191	secreted	CD44	HGNC:1681	8986622
COL18A1	HGNC:2195	secreted	GPC1	HGNC:4449	"11336704, 11336704"
COL18A1	HGNC:2195	secreted	GPC4	HGNC:4452	11336704
COL18A1	HGNC:2195	secreted	ITGA5	HGNC:6141	"12682293, 11158588"
COL18A1	HGNC:2195	secreted	ITGB1	HGNC:6153	12682293
COL18A1	HGNC:2195	secreted	KDR	HGNC:6307	12029087
COL18A1	HGNC:2195	secreted	PTPRS	HGNC:9681	11865065
COL1A1	HGNC:2197	secreted	CD36	HGNC:1663	2468670
COL1A1	HGNC:2197	secreted	CD44	HGNC:1681	1730778
COL1A1	HGNC:2197	secreted	CD93	HGNC:15855	1377218
COL1A1	HGNC:2197	secreted	DDR1	HGNC:2730	9659900
COL1A1	HGNC:2197	secreted	DDR2	HGNC:2731	"12611880, 9659899"
COL1A1	HGNC:2197	secreted	GP6	HGNC:14388	10961879
COL1A1	HGNC:2197	secreted	ITGA11	HGNC:6136	10464311
COL1A1	HGNC:2197	secreted	ITGA2	HGNC:6137	"7688313, 11359786, 11856343, 2156854"
COL1A1	HGNC:2197	secreted	ITGA5	HGNC:6141	1693626
COL1A1	HGNC:2197	secreted	ITGB1	HGNC:6153	"7688313, 10464311"
COL1A2	HGNC:2198	secreted	CD44	HGNC:1681	1730778
COL1A2	HGNC:2198	secreted	CD93	HGNC:15855	1377218
COL1A2	HGNC:2198	secreted	GP6	HGNC:14388	10961879
COL1A2	HGNC:2198	secreted	ITGA11	HGNC:6136	30632962
COL1A2	HGNC:2198	secreted	ITGA2	HGNC:6137	2156854
COL1A2	HGNC:2198	secreted	ITGB1	HGNC:6153	30632962
COL1A2	HGNC:2198	secreted	ITGB3	HGNC:6156	1693626
COL2A1	HGNC:2200	secreted	DDR1	HGNC:2730	9659900
COL2A1	HGNC:2200	secreted	ITGA10	HGNC:6135	9685391
COL2A1	HGNC:2200	secreted	ITGA2	HGNC:6137	7688313
COL2A1	HGNC:2200	secreted	ITGB1	HGNC:6153	"7688313, 9685391"
COL2A1	HGNC:2200	secreted	MAG	HGNC:6783	2446864
COL2A1	HGNC:2200	secreted	TNFRSF10A	HGNC:11904	9811967
COL3A1	HGNC:2201	secreted	DDR1	HGNC:2730	9659900
COL3A1	HGNC:2201	secreted	DDR2	HGNC:2731	9659899
COL3A1	HGNC:2201	secreted	MAG	HGNC:6783	2446864
COL4A1	HGNC:2202	secreted	CD93	HGNC:15855	1377218
COL4A1	HGNC:2202	secreted	ITGA1	HGNC:6134	8223488
COL4A1	HGNC:2202	secreted	ITGAV	HGNC:6150	14610079
COL4A1	HGNC:2202	secreted	ITGB1	HGNC:6153	8223488
COL4A1	HGNC:2202	secreted	ITGB8	HGNC:6163	7542940
COL4A2	HGNC:2203	secreted	CD93	HGNC:15855	1377218
COL4A3	HGNC:2204	secreted	CD47	HGNC:1682	10493512
COL4A3	HGNC:2204	secreted	CD93	HGNC:15855	1377218
COL4A3	HGNC:2204	secreted	ITGAV	HGNC:6150	12842087
COL4A5	HGNC:2207	secreted	CD93	HGNC:15855	1377218
COL4A6	HGNC:2208	secreted	CD93	HGNC:15855	1377218
COL5A1	HGNC:2209	secreted	SDC3	HGNC:10660	11751872
COL5A2	HGNC:2210	secreted	DDR1	HGNC:2730	9659900
COL5A3	HGNC:14864	secreted	SDC3	HGNC:10660	11751872
COL8A1	HGNC:2215	secreted	ITGA1	HGNC:6134	10666376
COL8A1	HGNC:2215	secreted	ITGA2	HGNC:6137	10666376
COL9A1	HGNC:2217	secreted	MAG	HGNC:6783	2446864
COL9A2	HGNC:2218	secreted	MAG	HGNC:6783	2446864
COL9A3	HGNC:2219	secreted	MAG	HGNC:6783	2446864
COLQ	HGNC:2226	secreted	MUSK	HGNC:7525	15159418
COMP	HGNC:2227	secreted	CD47	HGNC:1682	20033473
COMP	HGNC:2227	secreted	ITGA5	HGNC:6141	20033473
COMP	HGNC:2227	secreted	ITGB3	HGNC:6156	20033473
CORT	HGNC:2257	secreted	GHSR	HGNC:4267	"11227737, 11227737"
CORT	HGNC:2257	secreted	MRGPRX2	HGNC:17983	"12915402, 12915402"
CORT	HGNC:2257	secreted	SSTR1	HGNC:11330	"11011067, 9650799, 10598788, 15333679, 9205124, 9125122"
CORT	HGNC:2257	secreted	SSTR2	HGNC:11331	"9125122, 9650799, 10598788, 15333679, 9125122"
CORT	HGNC:2257	secreted	SSTR3	HGNC:11332	"9125122, 9650799, 10598788, 15333679, 9125122, 9205124"
CORT	HGNC:2257	secreted	SSTR4	HGNC:11333	"11011067, 9650799, 10598788, 9125122, 9205124"
CORT	HGNC:2257	secreted	SSTR5	HGNC:11334	"11011067, 9650799, 10598788, 15333679, 9205124, 9125122"
CP	HGNC:2295	secreted	SLC40A1	HGNC:10909	24921009
CPAMD8	HGNC:23228	secreted	SCTR	HGNC:10608	1335692
CRH	HGNC:2355	secreted	CRHR1	HGNC:2357	"8536644, 7692441, 9326293, 9851694, 11123370, 8612563, 7477349, 9178757"
CRH	HGNC:2355	secreted	CRHR2	HGNC:2358	"8536644, 11123370, 8243338"
CRLF1	HGNC:2364	secreted	CNTFR	HGNC:2170	23355913
CRP	HGNC:2367	secreted	OLR1	HGNC:8133	21821723
CRTAM	HGNC:24313	plasma membrane	CADM1	HGNC:5951	16091383
CSF1	HGNC:2432	secreted	CSF1R	HGNC:2433	"7883784, 2408759, 8355686"
CSF2	HGNC:2434	secreted	CSF2RA	HGNC:2435	"2828352, 10572088, 1702217, 8910448, 9211889"
CSF2	HGNC:2434	secreted	CSF2RB	HGNC:2436	"2828352, 8278375, 2645577"
CSF2	HGNC:2434	secreted	CSF3R	HGNC:2439	11091218
CSF2	HGNC:2434	secreted	IL3RA	HGNC:6012	7957082
CSF2	HGNC:2434	secreted	SDC2	HGNC:10659	10734053
CSF3	HGNC:2438	secreted	CSF3R	HGNC:2439	10364174
CSH1	HGNC:2440	secreted	PRLR	HGNC:9446	10966654
CTF1	HGNC:2499	secreted	IL6ST	HGNC:6021	11834704
CTF1	HGNC:2499	secreted	LIFR	HGNC:6597	11834704
CTHRC1	HGNC:18831	secreted	FZD3	HGNC:4041	18606138
CTHRC1	HGNC:18831	secreted	FZD5	HGNC:4043	18606138
CTHRC1	HGNC:18831	secreted	FZD6	HGNC:4044	18606138
CTHRC1	HGNC:18831	secreted	ROR2	HGNC:10257	18606138
CX3CL1	HGNC:10647	secreted	CX3CR1	HGNC:2558	"11432858, 14607932, 9931005, 9390561"
CX3CL1	HGNC:10647	secreted	ITGAV	HGNC:6150	24789099
CX3CL1	HGNC:10647	secreted	ITGB3	HGNC:6156	24789099
CXADR	HGNC:2559	plasma membrane	CXADR	HGNC:2559	10814828
CXADR	HGNC:2559	plasma membrane	JAML	HGNC:19084	15800062
CXCL1	HGNC:4602	secreted	ACKR1	HGNC:4035	"12734373, 7592830"
CXCL1	HGNC:4602	secreted	CXCR1	HGNC:6026	"12964882, 1379593, 1379593, 8702798"
CXCL1	HGNC:4602	secreted	CXCR2	HGNC:6027	"1379593, 10188995, 8940121, 8550564, 8940121, 8702798, 1379593"
CXCL10	HGNC:10637	secreted	CCR3	HGNC:1604	11110785
CXCL10	HGNC:10637	secreted	CXCR3	HGNC:4540	"9064356, 12884299, 9660793, 15761110, 12571234, 10233762"
CXCL10	HGNC:10637	secreted	SDC4	HGNC:10661	20484822
CXCL11	HGNC:10638	secreted	ACKR3	HGNC:23692	"27875312, 29180449, 29386406"
CXCL11	HGNC:10638	secreted	CCR3	HGNC:1604	11110785
CXCL11	HGNC:10638	secreted	CXCR3	HGNC:4540	"12884299, 15761110, 15273303, 9625760"
CXCL12	HGNC:10672	secreted	ACKR3	HGNC:23692	"16107333, 20956518, 23396314"
CXCL12	HGNC:10672	secreted	CD4	HGNC:1678	10600606
CXCL12	HGNC:10672	secreted	CXCR3	HGNC:4540	"9660793, 9660793"
CXCL12	HGNC:10672	secreted	CXCR4	HGNC:2561	"8752280, 12714578, 9551924, 9712844, 10233851, 8752281"
CXCL12	HGNC:10672	secreted	ITGA4	HGNC:6140	29301984
CXCL12	HGNC:10672	secreted	ITGA5	HGNC:6141	29301984
CXCL12	HGNC:10672	secreted	ITGAV	HGNC:6150	29301984
CXCL12	HGNC:10672	secreted	ITGB1	HGNC:6153	18448868
CXCL12	HGNC:10672	secreted	ITGB3	HGNC:6156	29301984
CXCL13	HGNC:10639	secreted	ACKR4	HGNC:1611	10706668
CXCL13	HGNC:10639	secreted	CCR10	HGNC:4474	10706668
CXCL13	HGNC:10639	secreted	CXCR3	HGNC:4540	11554781
CXCL13	HGNC:10639	secreted	CXCR5	HGNC:1060	"9463416, 9486651, 9463416"
CXCL14	HGNC:10640	secreted	CXCR4	HGNC:2561	28360196
CXCL16	HGNC:16642	secreted	CXCR6	HGNC:16647	"14625285, 11290797, 11017100, 11290797"
CXCL17	HGNC:19232	secreted	GPR35	HGNC:4492	25411203
CXCL2	HGNC:4603	secreted	CXCR1	HGNC:6026	"12964882, 9260277"
CXCL2	HGNC:4603	secreted	CXCR2	HGNC:6027	"8702798, 8702798, 9260277"
CXCL2	HGNC:4603	secreted	XCR1	HGNC:1625	10518929
CXCL3	HGNC:4604	secreted	CXCR1	HGNC:6026	"12964882, 8702798"
CXCL3	HGNC:4604	secreted	CXCR2	HGNC:6027	"8702798, 8702798"
CXCL5	HGNC:10642	secreted	ACKR1	HGNC:4035	13679391
CXCL5	HGNC:10642	secreted	CXCR1	HGNC:6026	"12964882, 9692902, 8702798"
CXCL5	HGNC:10642	secreted	CXCR2	HGNC:6027	"8702798, 9692902, 8702798"
CXCL6	HGNC:10643	secreted	CXCR1	HGNC:6026	"12964882, 9692902, 10593335, 9692902"
CXCL6	HGNC:10643	secreted	CXCR2	HGNC:6027	"12964882, 9692902, 10593335, 9692902"
CXCL8	HGNC:6025	secreted	ACKR1	HGNC:4035	"9921412, 17416748"
CXCL8	HGNC:6025	secreted	CXCR1	HGNC:6026	"8137938, 1379593, 10188995, 15946947, 8940121, 15282370, 1840701"
CXCL8	HGNC:6025	secreted	CXCR2	HGNC:6027	"11511101), 1379593, 10188995, 15946947, 8940121, 15282370, 9464567, 8702798, 8626516"
CXCL8	HGNC:6025	secreted	SDC1	HGNC:10658	12902511
CXCL8	HGNC:6025	secreted	SDC2	HGNC:10659	14527339
CXCL9	HGNC:7098	secreted	CCR3	HGNC:1604	11110785
CXCL9	HGNC:7098	secreted	CXCR3	HGNC:4540	"12884299, 9660793, 15761110, 9660793, 12782716"
CYTL1	HGNC:24435	secreted	CCR2	HGNC:1603	27084102
DAG1	HGNC:2666	ECM	LAMA4	HGNC:6484	27614294
DCN	HGNC:2705	secreted	EGFR	HGNC:3236	"12105206, 9988678"
DCN	HGNC:2705	secreted	ERBB4	HGNC:3432	10942781
DCN	HGNC:2705	secreted	MET	HGNC:7029	10942781
DCN	HGNC:2705	secreted	TLR2	HGNC:11848	22087031
DCN	HGNC:2705	secreted	TLR4	HGNC:11850	22087031
DEFB1	HGNC:2766	secreted	CCR6	HGNC:1607	12149255
DEFB103A	HGNC:15967	secreted	CCR6	HGNC:1607	11714836
DEFB103B	HGNC:31702	secreted	CCR2	HGNC:1603	23390582
DEFB103B	HGNC:31702	secreted	CCR6	HGNC:1607	23390582
DEFB106A	HGNC:18088	secreted	CCR2	HGNC:1603	23938203
DEFB4A	HGNC:2767	secreted	CCR6	HGNC:1607	"10521347, 11714836"
DEFB4A	HGNC:2767	secreted	TLR4	HGNC:11850	12411706
DEFB4B	HGNC:30193	secreted	CCR6	HGNC:1607	10521347
DHH	HGNC:2865	secreted	BOC	HGNC:17173	20519495
DHH	HGNC:2865	secreted	CDON	HGNC:17104	20519495
DHH	HGNC:2865	secreted	HHIP	HGNC:14866	"10050855, 10050855, 11435703"
DHH	HGNC:2865	secreted	PTCH1	HGNC:9585	9811851
DHH	HGNC:2865	secreted	PTCH2	HGNC:9586	"9811851, 9811851"
DKK1	HGNC:2891	secreted	KREMEN1	HGNC:17550	"12050670, 12050670"
DKK1	HGNC:2891	secreted	KREMEN2	HGNC:18797	12050670
DKK1	HGNC:2891	secreted	LRP4	HGNC:6696	19936252
DKK1	HGNC:2891	secreted	LRP5	HGNC:6697	11448771
DKK1	HGNC:2891	secreted	LRP6	HGNC:6698	"11357136, 11357136, 11448771"
DKK2	HGNC:2892	secreted	KREMEN1	HGNC:17550	23484855
DKK2	HGNC:2892	secreted	KREMEN2	HGNC:18797	12527209
DKK2	HGNC:2892	secreted	LRP5	HGNC:6697	22589387
DKK2	HGNC:2892	secreted	LRP6	HGNC:6698	"11357136, 11742004, 11357136"
DKK4	HGNC:2894	secreted	KREMEN1	HGNC:17550	29925589
DKK4	HGNC:2894	secreted	KREMEN2	HGNC:18797	12527209
DKK4	HGNC:2894	secreted	LRP6	HGNC:6698	29925589
DLK1	HGNC:2907	plasma membrane; secreted	NOTCH1	HGNC:7881	21419176
DLK1	HGNC:2907	plasma membrane; secreted	NOTCH2	HGNC:7882	22353464
DLK1	HGNC:2907	plasma membrane; secreted	NOTCH3	HGNC:7883	22353464
DLK1	HGNC:2907	plasma membrane; secreted	NOTCH4	HGNC:7884	22353464
DLK2	HGNC:21113	plasma membrane	NOTCH1	HGNC:7881	21419176
DLL1	HGNC:2908	plasma membrane	NOTCH1	HGNC:7881	"9819428, 11006133"
DLL1	HGNC:2908	plasma membrane	NOTCH2	HGNC:7882	10958687
DLL1	HGNC:2908	plasma membrane	NOTCH3	HGNC:7883	"12482954, 11006133"
DLL1	HGNC:2908	plasma membrane	NOTCH4	HGNC:7884	22353464
DLL3	HGNC:2909	plasma membrane	NOTCH1	HGNC:7881	22353464
DLL3	HGNC:2909	plasma membrane	NOTCH2	HGNC:7882	22353464
DLL3	HGNC:2909	plasma membrane	NOTCH3	HGNC:7883	22353464
DLL3	HGNC:2909	plasma membrane	NOTCH4	HGNC:7884	22353464
DLL4	HGNC:2910	plasma membrane	NOTCH1	HGNC:7881	"16219802, 10837024, 11739188"
DLL4	HGNC:2910	plasma membrane	NOTCH2	HGNC:7882	22842086
DLL4	HGNC:2910	plasma membrane	NOTCH3	HGNC:7883	18182388
DLL4	HGNC:2910	plasma membrane	NOTCH4	HGNC:7884	"16219802, 12814948"
DNAJB11	HGNC:14889	plasma membrane	PRTG	HGNC:26373	20335479
DSC1	HGNC:3035	plasma membrane	DSG1	HGNC:3048	27298358
DSC1	HGNC:3035	plasma membrane	DSG2	HGNC:3049	27298358
DSC1	HGNC:3035	plasma membrane	DSG3	HGNC:3050	27298358
DSC1	HGNC:3035	plasma membrane	DSG4	HGNC:21307	27298358
DSC2	HGNC:3036	plasma membrane	DSG1	HGNC:3048	27298358
